LREntryNo,LREntryDate,VehicleNo,Capacity,Vehicle_Type,Vehicle_Ownership_Type,CustomerName,From_Station,To_Station,NetWt_Tons,Freight_Revenue_INR,Fuel_Cost_INR,Driver_Allowance_INR,Toll_Charges_INR,Total_Trip_Cost_INR,Profit_Margin_INR,Profit_Margin_Percent,Actual_Distance_Km,Trip_Duration_Hours,Delay_Hours
LR-2025-080274,2025-12-22,TN-17-CA-6793,32,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,26.4,59791,47942,5941,2923,69154,-9363,-15.66,459,61.8,0
LR-2025-080275,2025-10-09,RJ-13-BC-8004,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,16.3,77388,31071,6066,2680,87655,-10267,-13.27,2440,40.6,0
LR-2025-080276,2025-10-01,KA-85-CB-1753,32,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,17.7,38877,49918,3823,2947,34462,4415,11.36,2780,37.0,0
LR-2025-080277,2025-08-08,RJ-66-BB-2819,25,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,12.3,75918,22848,4129,4975,71226,4692,6.18,2074,62.2,3
LR-2025-080278,2025-11-02,HR-66-BA-6371,28,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,21.0,72653,35086,5080,3975,66507,6146,8.46,1573,54.6,0
LR-2025-080279,2025-10-04,RJ-67-BA-4016,21,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,19.3,84456,48199,4283,3164,67173,17283,20.46,1195,53.9,1
LR-2025-080280,2025-12-18,UP-25-CA-8001,25,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,26.4,50735,21147,4964,2046,54483,-3748,-7.39,2478,36.9,0
LR-2025-080281,2025-10-01,KA-46-BC-2099,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,11.1,36102,24038,5086,4997,45456,-9354,-25.91,840,45.8,2
LR-2025-080282,2025-07-30,KA-88-BA-2197,32,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,18.5,89463,36144,4707,3648,107604,-18141,-20.28,1003,52.4,0
LR-2025-080283,2025-08-29,TN-12-CA-5813,16,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,22.6,76456,43555,2877,1834,80976,-4520,-5.91,1302,34.1,0
LR-2025-080284,2025-10-01,KA-93-BA-6810,32,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,27.7,90070,28001,3573,4966,78893,11177,12.41,987,27.5,0
LR-2025-080285,2025-12-13,UP-79-BC-2134,21,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,27.8,35718,33080,5495,2655,37053,-1335,-3.74,1206,33.0,0
LR-2025-080286,2025-10-29,RJ-13-AC-8203,16,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,27.0,51765,42583,2904,3618,45613,6152,11.88,1234,37.3,0
LR-2025-080287,2025-09-17,HR-21-AC-9301,28,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,24.7,60160,25975,3467,4899,51936,8224,13.67,1238,22.7,0
LR-2025-080288,2025-10-03,TN-34-BA-2487,28,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,17.1,73639,34730,4883,2258,69689,3950,5.36,2251,16.9,0
LR-2025-080289,2025-11-28,RJ-56-BB-2069,25,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,29.4,61526,37706,3739,4672,59567,1959,3.18,725,52.4,3
LR-2025-080290,2025-10-14,RJ-15-AC-5079,19,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,21.4,91405,26385,4924,2437,91872,-467,-0.51,954,54.9,2
LR-2025-080291,2025-10-31,GJ-57-CA-3580,25,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,13.1,38009,51986,3420,4839,40671,-2662,-7.0,1123,36.4,4
LR-2025-080292,2025-08-18,MH-49-CA-7114,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,22.6,85547,19866,6008,1905,72239,13308,15.56,1738,17.6,0
LR-2025-080293,2025-09-10,WB-79-CA-9604,19,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,12.8,82165,18979,4228,2712,99704,-17539,-21.35,757,39.5,0
LR-2025-080294,2025-09-08,KA-27-AA-6102,25,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,19.4,65174,34833,3325,3122,65272,-98,-0.15,2591,36.5,1
LR-2025-080295,2025-08-19,MH-26-BA-9433,19,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,26.4,80944,27345,3723,4500,65575,15369,18.99,716,57.6,1
LR-2025-080296,2025-11-27,MH-38-BB-4024,32,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,23.3,52500,39536,5710,3692,64113,-11613,-22.12,2799,45.1,0
LR-2025-080297,2025-11-20,RJ-64-BC-3379,28,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,25.0,91906,20242,5863,5075,82596,9310,10.13,1957,51.4,2
LR-2025-080298,2025-07-14,WB-40-AC-7500,21,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,9.7,45938,49508,4781,3208,35255,10683,23.26,1149,51.2,3
LR-2025-080299,2025-10-30,KA-89-BB-9943,25,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,12.0,71827,36304,5484,4947,69740,2087,2.91,2487,67.7,0
LR-2025-080300,2025-08-21,KA-94-AB-6609,28,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,15.0,46210,41948,4547,4430,41254,4956,10.72,484,70.0,0
LR-2025-080301,2025-11-25,HR-80-BB-3069,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,15.9,48884,46584,5066,2139,61938,-13054,-26.7,2447,26.2,3
LR-2025-080302,2025-10-28,WB-35-BC-9611,28,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,25.9,67482,21079,6077,3983,58125,9357,13.87,1865,46.2,1
LR-2025-080303,2025-11-13,HR-97-AC-4707,32,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,12.7,68791,45788,3628,2940,58246,10545,15.33,580,69.7,6
LR-2025-080304,2025-08-12,TN-70-CB-6274,19,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,24.7,53431,37660,2801,2106,51437,1994,3.73,1409,55.7,1
LR-2025-080305,2025-07-20,HR-17-CA-3298,19,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,19.6,47680,28502,5931,5105,59123,-11443,-24.0,1373,37.9,0
LR-2025-080306,2025-11-04,MH-54-AB-4707,21,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,12.4,61460,44308,3305,4773,59206,2254,3.67,2779,68.9,0
LR-2025-080307,2025-10-14,RJ-11-AB-9529,21,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,20.5,63057,48874,3751,4505,52593,10464,16.59,2175,32.7,0
LR-2025-080308,2025-11-14,HR-53-BB-1671,25,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,27.1,82687,34741,3262,4367,89072,-6385,-7.72,2290,39.9,0
LR-2025-080309,2025-08-21,GJ-38-AB-2451,32,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,22.2,80514,41760,3788,4523,90139,-9625,-11.95,2405,62.9,6
LR-2025-080310,2025-11-27,GJ-45-BB-9320,21,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,18.3,61634,34465,4260,2140,48658,12976,21.05,432,21.7,2
LR-2025-080311,2025-10-28,TN-95-BB-2703,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,19.7,49908,42629,5284,3925,53132,-3224,-6.46,1947,18.4,0
LR-2025-080312,2025-11-28,HR-25-BA-6909,28,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,23.6,88932,45645,6139,3412,104288,-15356,-17.27,543,35.4,2
LR-2025-080313,2025-08-12,WB-61-CA-1420,19,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,21.4,89851,19582,5382,3147,89814,37,0.04,784,32.4,0
LR-2025-080314,2025-10-20,RJ-97-BC-6773,19,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,15.3,35859,21132,4129,3676,40847,-4988,-13.91,1457,59.0,0
LR-2025-080315,2025-08-05,RJ-61-BC-3818,25,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,27.5,70600,39873,4240,4324,81954,-11354,-16.08,2584,57.4,3
LR-2025-080316,2025-10-06,HR-21-CA-6126,28,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,19.9,48914,30202,5898,3367,45226,3688,7.54,1208,30.8,1
LR-2025-080317,2025-09-02,RJ-30-AC-6288,16,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,11.8,56976,38350,4873,4668,53286,3690,6.48,2675,32.6,0
LR-2025-080318,2025-12-04,MH-21-AB-7629,21,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,12.6,45659,40292,4982,3249,44150,1509,3.3,2005,23.4,0
LR-2025-080319,2025-10-09,HR-51-BA-8250,16,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,14.7,89378,28158,5534,2921,112362,-22984,-25.72,487,43.7,3
LR-2025-080320,2025-10-27,KA-92-BA-3381,16,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,15.7,48350,19361,5307,3779,42915,5435,11.24,2177,39.2,0
LR-2025-080321,2025-11-06,TN-90-CA-5284,32,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,26.2,71230,41853,6090,5083,61255,9975,14.0,1459,40.2,0
LR-2025-080322,2025-09-23,HR-98-AC-6270,32,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,14.7,49381,26438,3195,5012,45751,3630,7.35,2458,55.7,0
LR-2025-080323,2025-07-22,MH-54-BA-8623,21,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,21.6,40868,21486,4685,4334,48215,-7347,-17.98,2173,43.8,0
LR-2025-080324,2025-08-31,WB-54-CB-3422,16,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,23.8,45229,22286,5744,2930,34894,10335,22.85,2713,30.1,4
LR-2025-080325,2025-08-20,TN-27-CA-4525,32,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,19.0,35807,37966,4153,2752,40501,-4694,-13.11,2714,60.7,0
LR-2025-080326,2025-08-07,RJ-10-AA-6871,28,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,12.0,60682,22653,5314,2060,50670,10012,16.5,2549,39.2,0
LR-2025-080327,2025-07-23,UP-33-AA-9109,32,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,12.0,46754,23839,3185,3452,41582,5172,11.06,2731,55.3,1
LR-2025-080328,2025-08-24,UP-53-AC-2570,21,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,17.0,86750,46204,3832,3846,84316,2434,2.81,751,26.3,0
LR-2025-080329,2025-07-11,HR-53-CB-2540,28,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,14.9,48853,21991,5081,2042,46050,2803,5.74,1908,21.3,0
LR-2025-080330,2025-10-01,TN-49-AA-7141,16,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,29.6,68676,30352,5407,4343,52643,16033,23.35,2420,26.2,0
LR-2025-080331,2025-11-14,RJ-83-AC-8220,32,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,27.3,56626,29632,4878,2409,45891,10735,18.96,2203,17.7,0
LR-2025-080332,2025-11-23,GJ-47-AB-6718,32,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,13.3,69231,51979,3485,2208,84592,-15361,-22.19,2418,26.8,0
LR-2025-080333,2025-08-29,TN-67-AB-2072,21,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,14.7,74186,27265,3780,5148,91872,-17686,-23.84,2390,26.5,0
LR-2025-080334,2025-08-23,HR-76-AB-6251,28,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,21.3,57482,43833,5900,4037,45439,12043,20.95,1203,31.8,0
LR-2025-080335,2025-07-16,TN-61-CA-7177,16,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,19.8,84038,50193,3227,3116,72523,11515,13.7,2678,43.1,0
LR-2025-080336,2025-10-11,WB-77-AA-4081,16,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,15.9,66611,29361,5425,3084,84995,-18384,-27.6,576,45.9,0
LR-2025-080337,2025-09-24,WB-97-CA-9329,28,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,27.3,53853,51341,4318,4589,51707,2146,3.98,563,67.0,0
LR-2025-080338,2025-10-03,HR-36-CB-4387,28,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,22.9,46170,19021,2985,3362,56513,-10343,-22.4,1223,66.4,0
LR-2025-080339,2025-10-23,RJ-32-CA-4741,21,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,28.8,53034,44342,2983,2438,40437,12597,23.75,960,49.5,1
LR-2025-080340,2025-09-06,GJ-36-BB-7704,32,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,9.7,50920,45108,4344,2939,62052,-11132,-21.86,1156,61.7,0
LR-2025-080341,2025-09-13,WB-99-CB-3111,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,24.0,73330,22621,5411,2268,56129,17201,23.46,852,24.9,2
LR-2025-080342,2025-10-01,UP-42-CA-5666,28,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,15.5,38358,35137,3244,4917,32809,5549,14.47,869,38.1,4
LR-2025-080343,2025-08-03,KA-35-AC-9490,16,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,19.3,47246,25165,3256,2736,59252,-12006,-25.41,535,62.7,0
LR-2025-080344,2025-12-06,MH-65-BC-8177,32,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,12.5,83973,20690,5515,3862,94107,-10134,-12.07,1154,59.0,2
LR-2025-080345,2025-11-14,RJ-42-AC-6736,25,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,13.7,36867,21698,4402,3356,38923,-2056,-5.58,1007,69.0,0
LR-2025-080346,2025-11-04,RJ-94-CB-1414,25,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,11.0,48761,34107,5264,3964,41723,7038,14.43,1558,47.2,0
LR-2025-080347,2025-12-07,TN-76-AA-3783,32,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,29.1,54811,42272,2957,2387,43273,11538,21.05,805,54.3,0
LR-2025-080348,2025-09-15,HR-38-AA-9938,16,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,9.9,34224,49223,5140,4441,36025,-1801,-5.26,1961,31.8,1
LR-2025-080349,2025-10-24,KA-88-BB-6654,32,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,19.1,63469,28036,4660,3997,78278,-14809,-23.33,1855,28.5,0
LR-2025-080350,2025-09-15,GJ-30-BC-1343,25,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,26.4,81905,27436,2974,3683,69674,12231,14.93,2060,55.8,0
LR-2025-080351,2025-11-21,RJ-36-CA-7899,25,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,19.2,48875,47642,4618,3391,62242,-13367,-27.35,2278,36.4,0
LR-2025-080352,2025-08-10,MH-41-BA-4128,28,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,13.6,60141,41816,4697,4045,49870,10271,17.08,2052,37.0,0
LR-2025-080353,2025-11-26,KA-48-CA-1833,19,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,14.1,59744,28270,5501,3374,49796,9948,16.65,2499,40.2,6
LR-2025-080354,2025-09-16,UP-44-AC-7584,28,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,25.9,35562,30963,3417,3484,39860,-4298,-12.09,1676,42.2,3
LR-2025-080355,2025-08-21,RJ-88-AA-2590,16,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,11.3,42556,18568,3016,3157,49219,-6663,-15.66,748,33.5,4
LR-2025-080356,2025-10-30,GJ-18-BC-6169,28,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,28.5,47304,47269,4745,3186,54242,-6938,-14.67,1097,32.2,0
LR-2025-080357,2025-11-15,UP-63-AB-9721,28,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,18.1,70823,48773,5666,2951,59711,11112,15.69,1401,70.7,1
LR-2025-080358,2025-11-29,WB-27-CA-8746,25,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,19.5,43610,19307,5200,4618,53761,-10151,-23.28,1864,68.1,1
LR-2025-080359,2025-12-18,KA-95-BC-6566,16,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,28.1,45916,22514,3525,2352,45577,339,0.74,1609,53.9,4
LR-2025-080360,2025-11-03,RJ-47-AB-6811,28,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,30.2,41272,50423,2865,4347,52676,-11404,-27.63,2797,39.4,0
LR-2025-080361,2025-08-14,GJ-76-AA-9021,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,28.5,89787,21408,5459,2778,80037,9750,10.86,1635,30.7,12
LR-2025-080362,2025-07-08,KA-94-AB-6454,28,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,10.2,56119,18699,5809,4149,43831,12288,21.9,458,33.0,0
LR-2025-080363,2025-12-14,GJ-99-CA-6499,21,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,26.4,64809,45820,4467,4697,62062,2747,4.24,1781,23.4,0
LR-2025-080364,2025-08-20,GJ-44-AB-8370,32,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,11.3,51143,38880,4884,2264,53559,-2416,-4.72,474,61.4,2
LR-2025-080365,2025-11-08,RJ-18-AC-4882,16,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,27.6,41015,18632,5761,1855,36353,4662,11.37,1777,64.7,1
LR-2025-080366,2025-08-28,RJ-95-AB-2998,16,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,24.3,44239,31075,5855,2132,47027,-2788,-6.3,1140,21.1,6
LR-2025-080367,2025-10-25,MH-16-AB-7338,21,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,22.6,34251,30624,4749,5148,33742,509,1.49,1188,55.7,0
LR-2025-080368,2025-10-11,WB-66-AC-9316,16,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,11.2,80286,30957,3878,2389,68785,11501,14.33,2600,48.2,0
LR-2025-080369,2025-12-04,MH-33-BC-4730,19,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,17.8,42127,37445,5263,3488,47414,-5287,-12.55,2455,51.9,0
LR-2025-080370,2025-10-23,WB-93-BB-5611,19,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,10.9,50446,22114,4823,3209,59966,-9520,-18.87,627,50.7,3
LR-2025-080371,2025-08-31,WB-96-AB-6216,28,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,25.7,39239,41689,5659,4589,43575,-4336,-11.05,649,47.9,2
LR-2025-080372,2025-08-23,RJ-73-BB-9013,21,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,21.0,54910,30470,3734,4205,54603,307,0.56,1078,18.4,0
LR-2025-080373,2025-10-01,TN-69-CB-8408,19,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,12.5,64470,43268,4518,1900,78498,-14028,-21.76,951,60.1,0
LR-2025-080374,2025-09-12,RJ-11-CA-3830,19,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,22.0,91032,30052,3688,2188,99110,-8078,-8.87,447,37.9,0
LR-2025-080375,2025-08-18,TN-30-BB-5549,19,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,13.5,56106,50711,4572,3582,48410,7696,13.72,1034,43.3,1
LR-2025-080376,2025-12-06,RJ-71-BB-3317,19,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,20.4,57158,50389,6091,2686,72016,-14858,-25.99,2085,43.5,6
LR-2025-080377,2025-07-15,GJ-97-CA-2996,28,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,12.2,75386,36474,4197,4768,63511,11875,15.75,1909,61.2,3
LR-2025-080378,2025-08-24,HR-12-CB-7062,25,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,14.7,58219,39377,5619,2756,61361,-3142,-5.4,1660,51.5,4
LR-2025-080379,2025-08-03,RJ-83-BC-4184,19,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,29.8,65207,33002,5700,4228,76236,-11029,-16.91,1350,61.5,0
LR-2025-080380,2025-12-19,RJ-75-AB-7293,19,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,22.6,70916,23328,4967,3810,71219,-303,-0.43,2275,49.7,4
LR-2025-080381,2025-08-30,TN-34-BB-3344,21,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,27.3,81698,21868,4740,2810,73391,8307,10.17,1294,51.5,0
LR-2025-080382,2025-08-02,UP-44-BC-8941,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,22.2,88056,31111,6175,5120,95342,-7286,-8.27,1150,69.6,1
LR-2025-080383,2025-12-08,MH-77-BB-5066,25,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,18.4,41888,18715,4021,2869,38274,3614,8.63,1216,24.1,0
LR-2025-080384,2025-09-07,HR-57-CB-3418,25,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,22.6,76705,28287,5232,3619,83982,-7277,-9.49,1666,22.0,0
LR-2025-080385,2025-07-21,KA-46-AC-3105,21,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,29.6,52084,26120,3014,3137,44940,7144,13.72,2643,42.7,0
LR-2025-080386,2025-08-05,WB-90-CA-6306,25,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,13.2,88513,20263,5436,2958,100432,-11919,-13.47,1707,47.7,0
LR-2025-080387,2025-11-20,KA-18-AB-3292,19,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,11.6,91885,28707,5723,2762,94282,-2397,-2.61,756,58.3,8
LR-2025-080388,2025-09-27,HR-73-CA-9931,16,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,20.5,56161,43951,5645,2434,45052,11109,19.78,2625,62.1,3
LR-2025-080389,2025-10-18,MH-40-AA-1396,16,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,23.0,63392,32779,4760,1973,53421,9971,15.73,552,28.3,0
LR-2025-080390,2025-11-18,RJ-51-CA-7484,16,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,20.2,44002,36981,4816,1896,55280,-11278,-25.63,2079,46.8,0
LR-2025-080391,2025-10-26,KA-10-BC-2320,28,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,28.0,72644,51367,6195,2472,56570,16074,22.13,2006,27.9,0
LR-2025-080392,2025-10-12,GJ-81-BC-9370,25,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,12.9,75135,31211,5889,4288,86181,-11046,-14.7,1429,34.7,0
LR-2025-080393,2025-07-10,GJ-67-AA-8299,28,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,29.8,51061,51541,5953,3461,49231,1830,3.58,1218,26.4,0
LR-2025-080394,2025-11-01,MH-82-BB-4511,28,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,26.7,86732,41654,4699,2022,70730,16002,18.45,1321,47.7,4
LR-2025-080395,2025-12-17,GJ-11-BA-3964,21,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,13.8,50536,43465,5748,3140,44105,6431,12.73,2255,71.1,1
LR-2025-080396,2025-08-23,GJ-95-BA-2272,28,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,11.8,44830,18017,2927,4336,55537,-10707,-23.88,584,64.0,6
LR-2025-080397,2025-09-17,UP-22-AA-7030,19,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,23.1,34000,45732,5838,3327,31205,2795,8.22,691,31.7,1
LR-2025-080398,2025-11-23,GJ-28-BB-8486,19,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,12.0,53494,19990,4751,2515,62087,-8593,-16.06,438,22.3,2
LR-2025-080399,2025-07-28,GJ-44-AA-8859,16,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,24.9,63834,28046,3682,2066,77385,-13551,-21.23,2008,54.0,0
LR-2025-080400,2025-08-26,TN-32-AA-1721,32,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,10.8,66599,36404,5707,2953,65593,1006,1.51,2342,27.4,0
LR-2025-080401,2025-11-05,MH-98-CB-1031,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,10.4,77990,46530,5089,4679,70302,7688,9.86,2381,60.3,1
LR-2025-080402,2025-09-21,HR-86-BC-8475,25,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,20.9,82662,42462,5497,3320,64856,17806,21.54,2636,46.3,0
LR-2025-080403,2025-11-09,TN-57-CB-6692,21,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,12.6,75898,50408,5567,4021,71369,4529,5.97,2050,36.2,0
LR-2025-080404,2025-11-18,RJ-55-CB-8385,28,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,27.6,73462,28766,2975,3206,65503,7959,10.83,2454,67.4,8
LR-2025-080405,2025-08-07,UP-83-AC-4372,32,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,17.8,43506,45458,3258,3853,46611,-3105,-7.14,2608,18.4,0
LR-2025-080406,2025-08-05,UP-39-BC-9014,16,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,16.3,34264,42466,5046,3417,30579,3685,10.75,2522,52.8,0
LR-2025-080407,2025-09-10,HR-38-CB-3551,32,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,28.3,71815,30342,5733,1802,67692,4123,5.74,2446,60.8,0
LR-2025-080408,2025-10-06,MH-61-BB-4428,28,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,22.9,38732,30517,2896,1866,43433,-4701,-12.14,507,32.6,0
LR-2025-080409,2025-12-05,HR-42-CB-2948,25,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,29.3,88241,44411,2843,4658,102673,-14432,-16.36,2827,32.8,0
LR-2025-080410,2025-07-18,KA-91-AA-9050,16,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,20.0,47660,41035,2927,2847,43750,3910,8.2,2319,64.2,0
LR-2025-080411,2025-09-06,RJ-97-CB-1447,25,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,10.3,69325,49945,5909,2155,80437,-11112,-16.03,2325,30.1,0
